Date,Close
5/15/2015,34.33
5/18/2015,34.87
5/19/2015,34.37
5/20/2015,34.62
5/21/2015,35.07
5/22/2015,34.71
5/26/2015,34.67
5/27/2015,34.95
5/28/2015,34.8
5/29/2015,34.54
6/1/2015,34.35
6/2/2015,34.36
6/3/2015,35.03
6/4/2015,35.27
6/5/2015,34.57
6/8/2015,34.59
6/9/2015,34.51
6/10/2015,34.72
6/11/2015,34.88
6/12/2015,34.65
6/15/2015,34.41
6/16/2015,34.67
6/17/2015,34.8
6/18/2015,35.02
6/19/2015,34.99
6/22/2015,35.04
6/23/2015,35.91
6/24/2015,35.78
6/25/2015,36.18
6/26/2015,36.12
6/29/2015,35.77
6/30/2015,35.52
7/1/2015,35.57
7/2/2015,35.73
7/6/2015,35.61
7/7/2015,35.77
7/8/2015,34.79
7/9/2015,34.39
7/10/2015,34.65
7/13/2015,34.88
7/14/2015,35.12
7/15/2015,34.73
7/16/2015,35.16
7/17/2015,35.01
7/20/2015,34.9
7/21/2015,34.57
7/22/2015,34.27
7/23/2015,33.93
7/24/2015,34.29
7/27/2015,34.32
7/28/2015,34.33
7/29/2015,34.69
7/30/2015,34.8
7/31/2015,34.74
8/3/2015,34.66
8/4/2015,34.58
8/5/2015,34.57
8/6/2015,34.24
8/7/2015,34.21
8/10/2015,34.78
8/11/2015,34.65
8/12/2015,34.02
8/13/2015,33.81
8/14/2015,34.05
8/17/2015,34.23
8/18/2015,34.35
8/19/2015,34.36
8/20/2015,33.95
8/21/2015,33.38
8/24/2015,32.37
8/25/2015,31.8
8/26/2015,32.69
8/27/2015,33.44
8/28/2015,33.29
8/31/2015,33.2
9/1/2015,32.32
9/2/2015,32.82
9/3/2015,33.04
9/4/2015,32.56
9/8/2015,33.14
9/9/2015,32.78
9/10/2015,32.75
9/11/2015,32.72
9/14/2015,32.55
9/15/2015,32.86
9/16/2015,32.94
9/17/2015,32.78
9/18/2015,32.55
9/21/2015,32.56
9/22/2015,32.27
9/23/2015,32.2
9/24/2015,32.11
9/25/2015,32.33
9/28/2015,31.9
9/29/2015,32.07
9/30/2015,32.58
10/1/2015,32.53
10/2/2015,32.64
10/5/2015,33.43
10/6/2015,33.31
10/7/2015,33.12
10/8/2015,33.4
10/9/2015,33.14
10/12/2015,33.3
10/13/2015,33.22
10/14/2015,33.27
10/15/2015,33.49
10/16/2015,33.83
10/19/2015,33.63
10/20/2015,33.75
10/21/2015,33.6
10/22/2015,33.96
10/23/2015,33.74
10/26/2015,33.66
10/27/2015,33.21
10/28/2015,33.42
10/29/2015,33.55
10/30/2015,33.51
11/2/2015,33.61
11/3/2015,33.63
11/4/2015,33.48
11/5/2015,33.34
11/6/2015,33.16
11/9/2015,32.84
11/10/2015,32.79
11/11/2015,32.92
11/12/2015,32.69
11/13/2015,32.31
11/16/2015,33.04
11/17/2015,33.26
11/18/2015,33.54
11/19/2015,33.62
11/20/2015,33.66
11/23/2015,33.46
11/24/2015,33.39
11/25/2015,33.45
11/27/2015,33.57
11/30/2015,33.67
12/1/2015,33.77
12/2/2015,33.56
12/3/2015,33.1
12/4/2015,34.11
12/7/2015,34.27
12/8/2015,33.85
12/9/2015,33.57
12/10/2015,33.67
12/11/2015,33.17
12/14/2015,33.6
12/15/2015,33.81
12/16/2015,34.4
12/17/2015,34.03
12/18/2015,33.6
12/21/2015,34.09
12/22/2015,34.41
12/23/2015,34.78
12/24/2015,34.66
12/28/2015,34.76
12/29/2015,34.93
12/30/2015,34.74
12/31/2015,34.41
1/4/2016,34.35
1/5/2016,34.59
1/6/2016,34.06
1/7/2016,33.51
1/8/2016,33.54
1/11/2016,33.95
1/12/2016,33.9
1/13/2016,33.74
1/14/2016,34.3
1/15/2016,33.99
1/19/2016,34.51
1/20/2016,33.9
1/21/2016,34.54
1/22/2016,35.14
1/25/2016,35
1/26/2016,35.4
1/27/2016,35.48
1/28/2016,35.53
1/29/2016,36.06
2/1/2016,36.18
2/2/2016,36.06
2/3/2016,36.72
2/4/2016,36.53
2/5/2016,36.88
2/8/2016,37.11
2/9/2016,36.65
2/10/2016,36.43
2/11/2016,36.21
2/12/2016,36.47
2/16/2016,36.65
2/17/2016,36.64
2/18/2016,36.99
2/19/2016,36.57
2/22/2016,36.86
2/23/2016,36.74
2/24/2016,37.1
2/25/2016,37.37
2/26/2016,37.13
2/29/2016,36.95
3/1/2016,37.39
3/2/2016,37.69
3/3/2016,37.99
3/4/2016,37.93
3/7/2016,38.13
3/8/2016,38.09
3/9/2016,37.98
3/10/2016,38.31
3/11/2016,38.36
3/14/2016,38.32
3/15/2016,38.52
3/16/2016,38.77
3/17/2016,39.12
3/18/2016,38.56
3/21/2016,38.92
3/22/2016,38.63
3/23/2016,38.54
3/24/2016,38.88
3/28/2016,39.07
3/29/2016,39.45
3/30/2016,39.37
3/31/2016,39.17
4/1/2016,39.05
4/4/2016,39.36
4/5/2016,39.19
4/6/2016,38.64
4/7/2016,38.59
4/8/2016,38.5
4/11/2016,38.39
4/12/2016,38.67
4/13/2016,38.25
4/14/2016,38.42
4/15/2016,38.48
4/18/2016,38.65
4/19/2016,38.92
4/20/2016,38.72
4/21/2016,37.86
4/22/2016,38.07
4/25/2016,38.21
4/26/2016,38.09
4/27/2016,38.72
4/28/2016,38.64
4/29/2016,38.82
5/2/2016,39.1
5/3/2016,38.91
5/4/2016,38.88
5/5/2016,38.74
5/6/2016,38.99
5/9/2016,38.86
5/10/2016,39.31
5/11/2016,39.18
5/12/2016,39.55
5/13/2016,39.15
5/16/2016,39.28
5/17/2016,39.11
5/18/2016,38.45
5/19/2016,38.44
5/20/2016,38.45
5/23/2016,38.32
5/24/2016,38.5
5/25/2016,38.62
5/26/2016,38.84
5/27/2016,38.99
5/31/2016,39.15
6/1/2016,38.73
6/2/2016,38.84
6/3/2016,39.21
6/6/2016,39.34
6/7/2016,39.79
6/8/2016,39.86
6/9/2016,40.09
6/10/2016,40.33
6/13/2016,40.19
6/14/2016,40.38
6/15/2016,40.29
6/16/2016,40.49
6/17/2016,40.73
6/20/2016,40.78
6/21/2016,41.07
6/22/2016,41.3
6/23/2016,41.88
6/24/2016,41.52
6/27/2016,42.03
6/28/2016,42.02
6/29/2016,42.54
6/30/2016,43.21
7/1/2016,43.47
7/5/2016,43.35
7/6/2016,43.1
7/7/2016,43.1
7/8/2016,42.61
7/11/2016,42.51
7/12/2016,42.41
7/13/2016,42.59
7/14/2016,42.77
7/15/2016,42.89
7/18/2016,42.85
7/19/2016,42.77
7/20/2016,42.71
7/21/2016,42.52
7/22/2016,43.11
7/25/2016,42.94
7/26/2016,42.38
7/27/2016,42.76
7/28/2016,42.58
7/29/2016,43.29
8/2/2016,43.16
8/3/2016,43.14
8/4/2016,43.08
8/5/2016,43.16
8/8/2016,42.93
8/9/2016,43.08
8/10/2016,43.2
8/11/2016,43.39
8/12/2016,43.28
8/15/2016,43.02
8/16/2016,41.96
8/17/2016,41.86
8/18/2016,41.4
8/19/2016,41.01
8/22/2016,40.91
8/23/2016,40.85
8/24/2016,40.87
8/25/2016,41.07
8/26/2016,40.68
8/29/2016,41
8/30/2016,40.89
8/31/2016,40.88
9/1/2016,40.96
9/2/2016,40.95
9/6/2016,41.23
9/7/2016,41.27
9/8/2016,41.19
9/9/2016,39.71
9/12/2016,40.71
9/13/2016,39.97
9/14/2016,39.89
9/15/2016,40.45
9/16/2016,40.2
9/19/2016,40.06
9/20/2016,39.96
9/21/2016,40.57
9/22/2016,41.11
9/23/2016,41.28
9/26/2016,41.14
9/27/2016,41.46
9/28/2016,40.85
9/29/2016,40.73
9/30/2016,40.61
10/3/2016,40.77
10/4/2016,39.9
10/5/2016,39.16
10/6/2016,39.11
10/7/2016,38.87
10/10/2016,39.01
10/11/2016,39.1
10/12/2016,39.33
10/13/2016,39.37
10/14/2016,39.22
10/17/2016,39.27
10/18/2016,39.36
10/19/2016,39.38
10/20/2016,38.65
10/21/2016,37.49
10/24/2016,36.86
10/25/2016,36.7
10/26/2016,36.43
10/27/2016,36.52
10/28/2016,36.51
10/31/2016,36.79
11/1/2016,36.56
11/2/2016,36.37
11/3/2016,36.63
11/4/2016,36.5
11/7/2016,36.81
11/8/2016,36.99
11/9/2016,37.44
11/10/2016,36.57
11/11/2016,36.51
11/14/2016,36.13
11/15/2016,36.77
11/16/2016,37.15
11/17/2016,37.41
11/18/2016,37.56
11/21/2016,37.74
11/22/2016,38.55
11/23/2016,38.73
11/25/2016,39.21
11/28/2016,39.54
11/29/2016,39.48
11/30/2016,38.63
12/1/2016,38.88
12/2/2016,38.61
12/5/2016,38.63
12/6/2016,39.35
12/7/2016,40.45
12/8/2016,40.41
12/9/2016,40.38
12/12/2016,41.12
12/13/2016,41.36
12/14/2016,41.1
12/15/2016,41.5
12/16/2016,41.67
12/19/2016,42.12
12/20/2016,42.47
12/21/2016,42.36
12/22/2016,42.72
12/23/2016,42.73
12/27/2016,42.65
12/28/2016,42.52
12/29/2016,42.66
12/30/2016,42.53
1/3/2017,43.02
1/4/2017,42.77
1/5/2017,42.65
1/6/2017,41.32
1/9/2017,40.8
1/10/2017,40.81
1/11/2017,40.61
1/12/2017,41.01
1/13/2017,40.96
1/17/2017,41.11
1/18/2017,40.8
1/19/2017,41
1/20/2017,41.45
1/23/2017,42
1/24/2017,41.36
1/25/2017,41.39
1/26/2017,41.77
1/27/2017,42.01
1/30/2017,41.82
1/31/2017,42.16
